Oxymax CSV File 

CSV Generation Date,2017-09-27 7:46:36 AM 
Experiment Started,2017-09-25 7:39:41 AM 
Data Filename,C:\Users\username\Documents\OxyMax.CDTA

Group/Cage,0103
O2 Calibration Date,2017-09-25 7:26:11 AM
CO2 Calibration Date,2017-09-25 7:21:04 AM
Subject ID,1MD1
Subject Mass (G), 1531 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=8
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,STATUS2,FEED2,FEED2 ACC,XTOT,XAMB,ZTOT,RH SAMP,RH REF,RH PURGE,RH AMB,TEMP AMB,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,%,%,%,%,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,2017-09-25 7:47:51 AM ,1198,20.88,20.43,0.46,0.0,991,0.060,0.451,0.390,0.0,0.827,2.6,1.93,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,1266,766,164,1.2,33.0,0.0,1.8,95.4,
2,0103,2017-09-25 8:05:51 AM ,1568,20.89,20.29,0.60,0.2,1354,0.053,0.589,0.536,0.2,0.864,3.5,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,1792,1127,555,1.1,32.7,0.0,1.3,99.7,
3,0103,2017-09-25 8:23:51 AM ,1635,20.89,20.26,0.63,0.4,1410,0.053,0.610,0.557,0.4,0.862,3.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,998,543,359,1.1,32.7,ERR:0,0.8,99.7,
4,0103,2017-09-25 8:41:51 AM ,1464,20.89,20.33,0.56,0.6,1244,0.053,0.545,0.492,0.5,0.850,3.2,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,619,333,199,1.1,32.7,ERR:0,0.3,99.7,
5,0103,2017-09-25 8:59:51 AM ,1302,20.89,20.39,0.50,0.8,1151,0.053,0.508,0.455,0.7,0.884,2.9,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,320,163,46,1.1,32.7,ERR:0,ERR:0,99.7,
6,0103,2017-09-25 9:17:51 AM ,1611,20.89,20.27,0.62,1.0,1400,0.053,0.607,0.554,0.9,0.869,3.6,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,909,477,260,1.1,32.7,0.0,ERR:0,99.7,
7,0103,2017-09-25 9:35:51 AM ,1344,20.89,20.37,0.52,1.2,1145,0.055,0.509,0.453,1.0,0.852,3.0,1.92,STABLE,0.00,0.00,OVERLOAD,0.00,0.00,264,102,76,1.1,32.6,ERR:0,ERR:0,99.5,
